filename,audio_duration_min,transcription_sec,diarization_sec,assignment_sec,total_sec,speakers
alex-van-de-sande-interview,95.8,116.0,274.8,12.2,403,7
are_corporate_chains_back,49.5,60.8,100.1,8.1,169,5
episode001,112.6,139.3,339.3,14.4,493,5
episode002,71.2,88.4,169.6,21.0,279,4
episode003-bob-summerwill,79.5,95.7,195.1,10.2,301,5
episode004-taylor-gerring,71.3,81.8,163.9,10.3,256,5
episode005-anthony-d-onofrio,93.5,109.7,247.4,10.9,368,4
fabian-vogelsteller-interview,95.3,207.1,298.3,12.6,518,2
institutions_want_tokens_how_is_ethereum_keeping_up,49.8,63.3,100.0,8.7,172,4
is_better_web3_ux_the_key_to_mainstream_adoption,33.6,45.1,62.1,6.8,114,4
mercata_v2_contest_winners_announced,30.3,37.7,54.3,7.0,99,4
mercata_v2_context_kickoff,19.3,19.4,32.3,5.3,57,2
strato-mercata-show-2025.10.08,42.9,53.3,84.2,7.5,145,3
william-entriken-interview,60.3,71.9,129.3,9.8,211,4
